Title:,"Time Series, Area-Averaged of Methane, Mole Fraction in Air (Daytime/Ascending) monthly 1 (monthly)"
2009-12-01 00:00:00,1826.81412
2010-01-01 00:00:00,1822.99443
2010-02-01 00:00:00,1818.29962
2010-03-01 00:00:00,1814.40143
2010-04-01 00:00:00,1810.18859
2010-05-01 00:00:00,1807.9757
2010-06-01 00:00:00,1810.68243
2010-07-01 00:00:00,1819.38235
2010-08-01 00:00:00,1827.37737
2010-09-01 00:00:00,1831.09066
2010-10-01 00:00:00,1830.81825
2010-11-01 00:00:00,1829.52677
2010-12-01 00:00:00,1826.84328
2011-01-01 00:00:00,1825.46068
2011-02-01 00:00:00,1820.91995
2011-03-01 00:00:00,1819.88631
2011-04-01 00:00:00,1815.40317
2011-05-01 00:00:00,1810.78974
2011-06-01 00:00:00,1816.60439
2011-07-01 00:00:00,1827.57142
2011-08-01 00:00:00,1837.30648
2011-09-01 00:00:00,1840.33172
2011-10-01 00:00:00,1839.84853
2011-11-01 00:00:00,1837.94196
2011-12-01 00:00:00,1836.46724
2012-01-01 00:00:00,1836.66898
2012-02-01 00:00:00,1831.05617
2012-03-01 00:00:00,1827.43707
2012-04-01 00:00:00,1823.35182
2012-05-01 00:00:00,1820.71448
2012-06-01 00:00:00,1824.0461
2012-07-01 00:00:00,1832.87386
2012-08-01 00:00:00,1839.77676
2012-09-01 00:00:00,1842.40778
2012-10-01 00:00:00,1842.36647
2012-11-01 00:00:00,1840.72796
2012-12-01 00:00:00,1839.64593
2013-01-01 00:00:00,1836.71469
2013-02-01 00:00:00,1831.85561
2013-03-01 00:00:00,1828.45431
2013-04-01 00:00:00,1826.91632
2013-05-01 00:00:00,1821.39222
2013-06-01 00:00:00,1823.46896
2013-07-01 00:00:00,1834.10147
2013-08-01 00:00:00,1844.44902
2013-09-01 00:00:00,1847.76533
2013-10-01 00:00:00,1846.11817
2013-11-01 00:00:00,1843.73081
2013-12-01 00:00:00,1841.16558
2014-01-01 00:00:00,1836.93226
2014-02-01 00:00:00,1835.86601
2014-03-01 00:00:00,1835.26621
2014-04-01 00:00:00,1830.32875
2014-05-01 00:00:00,1824.10775
2014-06-01 00:00:00,1827.09917
2014-07-01 00:00:00,1837.10147
2014-08-01 00:00:00,1848.34202
2014-09-01 00:00:00,1852.06939
2014-10-01 00:00:00,1851.26293
2014-11-01 00:00:00,1850.18666
2014-12-01 00:00:00,1847.16269
2015-01-01 00:00:00,1842.83182
2015-02-01 00:00:00,1838.58239
2015-03-01 00:00:00,1837.75378
2015-04-01 00:00:00,1835.68518
2015-05-01 00:00:00,1830.49207
2015-06-01 00:00:00,1833.73296
2015-07-01 00:00:00,1844.54928
2015-08-01 00:00:00,1853.32351
2015-09-01 00:00:00,1856.79802
2015-10-01 00:00:00,1855.54589
2015-11-01 00:00:00,1854.86847
2015-12-01 00:00:00,1852.78085
2016-01-01 00:00:00,1850.51004
2016-02-01 00:00:00,1847.02025
2016-03-01 00:00:00,1846.0855
2016-04-01 00:00:00,1839.2309
2016-05-01 00:00:00,1835.36705
2016-06-01 00:00:00,1837.5781
2016-07-01 00:00:00,1846.48918
2016-08-01 00:00:00,1855.95269
2016-09-01 00:00:00,1860.5695
